DATA_REF,FROTA_LOCADA
2022-10-28,27577
2022-10-27,28246
2022-10-26,28285
2022-10-25,27829
2022-10-24,27646
2022-10-23,30173
2022-10-22,31034
2022-10-21,29553
2022-10-20,29265
2022-10-19,28638
2022-10-18,27640
2022-10-17,27423
2022-10-16,30438
2022-10-15,31731
2022-10-14,29892
2022-10-13,28734
2022-10-12,28374
2022-10-11,27577
2022-10-10,28390
2022-10-09,32235
2022-10-08,32280
2022-10-07,29046
2022-10-06,27370
2022-10-05,26239
2022-10-04,24855
2022-10-03,24045
2022-10-02,26035
2022-10-01,26099
2022-09-30,24428
2022-09-29,24874
2022-09-28,24847
2022-09-27,24867
2022-09-26,24811
2022-09-25,28131
2022-09-24,29258
2022-09-23,28302
2022-09-22,28152
2022-09-21,27461
2022-09-20,26729
2022-09-19,26489
2022-09-18,28686
2022-09-17,29374
2022-09-16,28094
2022-09-15,28072
2022-09-14,27554
2022-09-13,26640
2022-09-12,25966
2022-09-11,28916
2022-09-10,30200
2022-09-09,28047
2022-09-08,26457
2022-09-07,25439
2022-09-06,24579
2022-09-05,24853
2022-09-04,27617
2022-09-03,28056
2022-09-02,25998
2022-09-01,25359
2022-08-31,24358
2022-08-30,24137
2022-08-29,23863
2022-08-28,27447
2022-08-27,28586
2022-08-26,27640
2022-08-25,27824
2022-08-24,27149
2022-08-23,26259
2022-08-22,25337
2022-08-21,27590
2022-08-20,28467
2022-08-19,27608
2022-08-18,27473
2022-08-17,26811
2022-08-16,25867
2022-08-15,25872
2022-08-14,28700
2022-08-13,29024
2022-08-12,26767
2022-08-11,26204
2022-08-10,25347
2022-08-09,24180
2022-08-08,23507
2022-08-07,26249
2022-08-06,26880
2022-08-05,24822
2022-08-04,23980
2022-08-03,22886
2022-08-02,21606
2022-08-01,21123
2022-07-31,21850
2022-07-30,25951
2022-07-29,24721
2022-07-28,24798
2022-07-27,24008
2022-07-26,23224
2022-07-25,23575
2022-07-24,26578
2022-07-23,27409
2022-07-22,26037
2022-07-21,25971
2022-07-20,25396
2022-07-19,24547
2022-07-18,24275
2022-07-17,26333
2022-07-16,27162
